# Exchange Bridge Security Log
[2025-11-11 19:52:09] [ACCESS] IP:37.186.40.96 SCRIPT:/admin/currencies/add.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 MSG:System access from 37.186.40.96
[2025-11-11 19:52:09] [PROXR휚ETECTED] IP:37.186.40.96 SCRIPT:/admin/currencies/add.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 MSG:Proxy usage detected via header: HTTP_X_FORWARDED_FOR
[2025-11-11 19:52:09] [LICENSE_OK] IP:37.186.40.96 SCRIPT:/admin/currencies/add.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 MSG:License verification successful
[2025-11-11 19:52:14] [ACCESS] IP:24.220.112.132 SCRIPT:/admin/currencies/add.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 MSG:System access from 24.220.112.132
[2025-11-11 19:52:14] [PROXR휚ETECTED] IP:24.220.112.132 SCRIPT:/admin/currencies/add.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 MSG:Proxy usage detected via header: HTTP_X_FORWARDED_FOR
[2025-11-11 19:52:14] [LICENSE_OK] IP:24.220.112.132 SCRIPT:/admin/currencies/add.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 MSG:License verification successful
[2025-11-11 19:52:14] [ACCESS] IP:24.220.112.132 SCRIPT:/admin/login.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 MSG:System access from 24.220.112.132
[2025-11-11 19:52:14] [PROXR휚ETECTED] IP:24.220.112.132 SCRIPT:/admin/login.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 MSG:Proxy usage detected via header: HTTP_X_FORWARDED_FOR
[2025-11-11 19:52:14] [LICENSE_OK] IP:24.220.112.132 SCRIPT:/admin/login.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 MSG:License verification successful
[2025-11-11 19:52:30] [ACCESS] IP:37.186.40.96 SCRIPT:/admin/currencies/add.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 MSG:System access from 37.186.40.96
